[*] Config Loaded: Name='flight-hawaii-van-Meet', Duration=600s
[*] Joining: [MEETING_LINK_REMOVED]
[*] Input field found. Typing name: flight-hawaii-van-Meet
[*] Looking for Join button...
    [+] JOIN CLICKED (XPath)!

[*] Starting continuous monitoring for 600 seconds...
[LOG] Time: 0s | RTT: 31.00 ms
[LOG] Time: 1s | Connecting...
[LOG] Time: 2s | Connecting...
[LOG] Time: 3s | Connecting...
[LOG] Time: 4s | Connecting...
[LOG] Time: 5s | Connecting...
[LOG] Time: 6s | Connecting...
[LOG] Time: 7s | Connecting...
[LOG] Time: 8s | Connecting...
[LOG] Time: 9s | Connecting...
[LOG] Time: 10s | Connecting...
[LOG] Time: 11s | Connecting...
[LOG] Time: 12s | Connecting...
[LOG] Time: 13s | Connecting...
[LOG] Time: 14s | Connecting...
[LOG] Time: 15s | Connecting...
[LOG] Time: 16s | Connecting...
[LOG] Time: 17s | Connecting...
[LOG] Time: 18s | Connecting...
[LOG] Time: 19s | Connecting...
[LOG] Time: 20s | Connecting...
[LOG] Time: 21s | Connecting...
[LOG] Time: 22s | Connecting...
[LOG] Time: 23s | Connecting...
[LOG] Time: 24s | Connecting...
[LOG] Time: 25s | Connecting...
[LOG] Time: 26s | Connecting...
[LOG] Time: 27s | Connecting...
[LOG] Time: 28s | Connecting...
[LOG] Time: 29s | Connecting...
[LOG] Time: 30s | Connecting...
[LOG] Time: 31s | Connecting...
[LOG] Time: 32s | Connecting...
[LOG] Time: 33s | Connecting...
[LOG] Time: 34s | Connecting...
[LOG] Time: 35s | Connecting...
[LOG] Time: 36s | Connecting...
[LOG] Time: 37s | Connecting...
[LOG] Time: 38s | Connecting...
[LOG] Time: 39s | Connecting...
[LOG] Time: 40s | Connecting...
[LOG] Time: 41s | Connecting...
[LOG] Time: 42s | Connecting...
[LOG] Time: 43s | Connecting...
[LOG] Time: 44s | Connecting...
[LOG] Time: 45s | Connecting...
[LOG] Time: 46s | Connecting...
[LOG] Time: 47s | Connecting...
[LOG] Time: 48s | Connecting...
[LOG] Time: 49s | Connecting...
[LOG] Time: 50s | Connecting...
[LOG] Time: 51s | Connecting...
[LOG] Time: 52s | Connecting...
[LOG] Time: 53s | Connecting...
[LOG] Time: 54s | Connecting...
[LOG] Time: 55s | Connecting...
[LOG] Time: 56s | Connecting...
[LOG] Time: 57s | Connecting...
[LOG] Time: 58s | Connecting...
[LOG] Time: 59s | Connecting...
[LOG] Time: 60s | Connecting...
[LOG] Time: 65s | Connecting...
[LOG] Time: 66s | Connecting...
[LOG] Time: 67s | Connecting...
[LOG] Time: 68s | Connecting...
[LOG] Time: 69s | Connecting...
[LOG] Time: 70s | Connecting...

got 3 SIGTERM/SIGINTs, forcefully exiting
