[*] Config Loaded: Name='flight-hawaii-van-Teams', Duration=600s
[*] Launching Chrome for Teams...
[*] Joining URL: [REDACTED_TEAMS_MEETING_URL]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 600 seconds...
[LOG] Time: 0s | RTT: 168.00 ms | State: connected
[LOG] Time: 1s | RTT: 148.00 ms | State: connected
[LOG] Time: 2s | RTT: 148.00 ms | State: connected
[LOG] Time: 3s | RTT: 165.00 ms | State: connected
[LOG] Time: 4s | RTT: 165.00 ms | State: connected
[LOG] Time: 5s | RTT: 165.00 ms | State: connected
[LOG] Time: 6s | RTT: 249.00 ms | State: connected
[LOG] Time: 8s | RTT: 249.00 ms | State: connected
[LOG] Time: 9s | RTT: 169.00 ms | State: connected
[LOG] Time: 10s | RTT: 169.00 ms | State: connected
[LOG] Time: 11s | RTT: 165.00 ms | State: connected
[LOG] Time: 12s | RTT: 165.00 ms | State: connected
[LOG] Time: 13s | RTT: 176.00 ms | State: connected
[LOG] Time: 14s | RTT: 176.00 ms | State: connected
[LOG] Time: 16s | RTT: 176.00 ms | State: connected
[LOG] Time: 17s | RTT: 162.00 ms | State: connected
[LOG] Time: 18s | RTT: 162.00 ms | State: connected
[LOG] Time: 19s | RTT: 162.00 ms | State: connected
[LOG] Time: 20s | RTT: 162.00 ms | State: connected
[LOG] Time: 21s | RTT: 162.00 ms | State: connected
[LOG] Time: 22s | RTT: 164.00 ms | State: connected
[LOG] Time: 23s | RTT: 164.00 ms | State: connected
[LOG] Time: 24s | RTT: 144.00 ms | State: connected
[LOG] Time: 25s | RTT: 144.00 ms | State: connected
[LOG] Time: 26s | RTT: 140.00 ms | State: connected
[LOG] Time: 28s | RTT: 140.00 ms | State: connected
[LOG] Time: 29s | RTT: 140.00 ms | State: connected
[LOG] Time: 30s | RTT: 166.00 ms | State: connected
[LOG] Time: 31s | RTT: 166.00 ms | State: connected
[LOG] Time: 32s | RTT: 163.00 ms | State: connected
[LOG] Time: 33s | RTT: 163.00 ms | State: connected
[LOG] Time: 34s | RTT: 163.00 ms | State: connected
[LOG] Time: 35s | RTT: 156.00 ms | State: connected
[LOG] Time: 36s | RTT: 156.00 ms | State: connected
[LOG] Time: 37s | RTT: 177.00 ms | State: connected
[LOG] Time: 38s | RTT: 177.00 ms | State: connected
[LOG] Time: 40s | RTT: 177.00 ms | State: connected
[LOG] Time: 41s | RTT: 135.00 ms | State: connected
[LOG] Time: 42s | RTT: 135.00 ms | State: connected
[LOG] Time: 43s | RTT: 159.00 ms | State: connected
[LOG] Time: 44s | RTT: 159.00 ms | State: connected
[LOG] Time: 45s | RTT: 159.00 ms | State: connected
[LOG] Time: 46s | RTT: 165.00 ms | State: connected
[LOG] Time: 47s | RTT: 165.00 ms | State: connected
[LOG] Time: 48s | RTT: 153.00 ms | State: connected
[LOG] Time: 49s | RTT: 153.00 ms | State: connected
[LOG] Time: 50s | RTT: 156.00 ms | State: connected
[LOG] Time: 51s | RTT: 156.00 ms | State: connected
[LOG] Time: 53s | RTT: 156.00 ms | State: connected
[LOG] Time: 54s | RTT: 166.00 ms | State: connected
[LOG] Time: 55s | RTT: 166.00 ms | State: connected
[LOG] Time: 56s | RTT: 159.00 ms | State: connected
[LOG] Time: 57s | RTT: 159.00 ms | State: connected
[LOG] Time: 58s | RTT: 159.00 ms | State: connected
[LOG] Time: 59s | RTT: 179.00 ms | State: connected
[LOG] Time: 60s | RTT: 179.00 ms | State: connected
[LOG] Time: 61s | RTT: 158.00 ms | State: connected
[LOG] Time: 62s | RTT: 158.00 ms | State: connected
[LOG] Time: 63s | RTT: 158.00 ms | State: connected
[LOG] Time: 65s | RTT: 171.00 ms | State: connected
[LOG] Time: 66s | RTT: 171.00 ms | State: connected
[LOG] Time: 67s | RTT: 168.00 ms | State: connected
[LOG] Time: 68s | RTT: 168.00 ms | State: connected
[LOG] Time: 69s | RTT: 168.00 ms | State: connected
[LOG] Time: 70s | RTT: 155.00 ms | State: connected
[LOG] Time: 71s | RTT: 155.00 ms | State: connected
[LOG] Time: 72s | RTT: 194.00 ms | State: connected
[LOG] Time: 73s | RTT: 194.00 ms | State: connected
[LOG] Time: 74s | RTT: 188.00 ms | State: connected
[LOG] Time: 75s | RTT: 188.00 ms | State: connected
[LOG] Time: 76s | RTT: 188.00 ms | State: connected
[LOG] Time: 77s | RTT: 164.00 ms | State: connected
[LOG] Time: 79s | RTT: 164.00 ms | State: connected
[LOG] Time: 80s | RTT: 168.00 ms | State: connected
[LOG] Time: 81s | RTT: 168.00 ms | State: connected
[LOG] Time: 82s | RTT: 168.00 ms | State: connected
[LOG] Time: 83s | RTT: 167.00 ms | State: connected
[LOG] Time: 84s | RTT: 167.00 ms | State: connected
[LOG] Time: 85s | RTT: 174.00 ms | State: connected
[LOG] Time: 86s | RTT: 174.00 ms | State: connected
[LOG] Time: 87s | RTT: 174.00 ms | State: connected
[LOG] Time: 88s | RTT: 134.00 ms | State: connected
[LOG] Time: 89s | RTT: 134.00 ms | State: connected
[LOG] Time: 90s | RTT: 170.00 ms | State: connected
[LOG] Time: 92s | RTT: 170.00 ms | State: connected
[LOG] Time: 93s | RTT: 170.00 ms | State: connected
[LOG] Time: 94s | RTT: 142.00 ms | State: connected
[LOG] Time: 95s | RTT: 142.00 ms | State: connected
[LOG] Time: 96s | RTT: 137.00 ms | State: connected
[LOG] Time: 97s | RTT: 137.00 ms | State: connected
[LOG] Time: 98s | RTT: 137.00 ms | State: connected
[LOG] Time: 99s | RTT: 170.00 ms | State: connected
[LOG] Time: 100s | RTT: 170.00 ms | State: connected
[LOG] Time: 101s | RTT: 146.00 ms | State: connected
[LOG] Time: 102s | RTT: 146.00 ms | State: connected
[LOG] Time: 103s | RTT: 154.00 ms | State: connected
[LOG] Time: 104s | RTT: 154.00 ms | State: connected
[LOG] Time: 106s | RTT: 154.00 ms | State: connected
[LOG] Time: 107s | RTT: 167.00 ms | State: connected
[LOG] Time: 108s | RTT: 167.00 ms | State: connected
[LOG] Time: 109s | RTT: 165.00 ms | State: connected
[LOG] Time: 110s | RTT: 165.00 ms | State: connected
[LOG] Time: 111s | RTT: 165.00 ms | State: connected
[LOG] Time: 112s | RTT: 157.00 ms | State: connected
[LOG] Time: 113s | RTT: 157.00 ms | State: connected
[LOG] Time: 114s | RTT: 134.00 ms | State: connected
[LOG] Time: 115s | RTT: 134.00 ms | State: connected
[LOG] Time: 116s | RTT: 134.00 ms | State: connected
[LOG] Time: 117s | RTT: 165.00 ms | State: connected
[LOG] Time: 119s | RTT: 165.00 ms | State: connected
[LOG] Time: 120s | RTT: 145.00 ms | State: connected
[LOG] Time: 121s | RTT: 145.00 ms | State: connected
[LOG] Time: 122s | RTT: 145.00 ms | State: connected
[LOG] Time: 123s | RTT: 162.00 ms | State: connected
[LOG] Time: 124s | RTT: 162.00 ms | State: connected
[LOG] Time: 125s | RTT: 141.00 ms | State: connected
[LOG] Time: 126s | RTT: 141.00 ms | State: connected
[LOG] Time: 127s | RTT: 141.00 ms | State: connected
[LOG] Time: 128s | RTT: 153.00 ms | State: connected
[LOG] Time: 129s | RTT: 153.00 ms | State: connected
[LOG] Time: 130s | RTT: 157.00 ms | State: connected
[LOG] Time: 131s | RTT: 157.00 ms | State: connected
[LOG] Time: 133s | RTT: 157.00 ms | State: connected
[LOG] Time: 134s | RTT: 144.00 ms | State: connected
[LOG] Time: 135s | RTT: 144.00 ms | State: connected
[LOG] Time: 136s | RTT: 174.00 ms | State: connected
[LOG] Time: 137s | RTT: 174.00 ms | State: connected
[LOG] Time: 138s | RTT: 157.00 ms | State: connected
[LOG] Time: 139s | RTT: 157.00 ms | State: connected
[LOG] Time: 140s | RTT: 157.00 ms | State: connected
