[*] Config Loaded: Name='flight-edm-vic-Teams', Duration=200s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 200 seconds...
[LOG] Time: 0s | RTT: 108.00 ms | State: connected
[LOG] Time: 1s | RTT: 138.00 ms | State: connected
[LOG] Time: 2s | RTT: 138.00 ms | State: connected
[LOG] Time: 3s | RTT: 132.00 ms | State: connected
[LOG] Time: 4s | RTT: 132.00 ms | State: connected
[LOG] Time: 5s | RTT: 132.00 ms | State: connected
[LOG] Time: 6s | RTT: 126.00 ms | State: connected
[LOG] Time: 7s | RTT: 126.00 ms | State: connected
[LOG] Time: 8s | RTT: 130.00 ms | State: connected
[LOG] Time: 9s | RTT: 130.00 ms | State: connected
[LOG] Time: 11s | RTT: 130.00 ms | State: connected
[LOG] Time: 12s | RTT: 132.00 ms | State: connected
[LOG] Time: 13s | RTT: 132.00 ms | State: connected
[LOG] Time: 14s | RTT: 123.00 ms | State: connected
[LOG] Time: 15s | RTT: 123.00 ms | State: connected
[LOG] Time: 16s | RTT: 142.00 ms | State: connected
[LOG] Time: 17s | RTT: 142.00 ms | State: connected
[LOG] Time: 18s | RTT: 142.00 ms | State: connected
[LOG] Time: 19s | RTT: 130.00 ms | State: connected
[LOG] Time: 20s | RTT: 130.00 ms | State: connected
[LOG] Time: 22s | RTT: 130.00 ms | State: connected
[LOG] Time: 23s | RTT: 130.00 ms | State: connected
[LOG] Time: 24s | RTT: 130.00 ms | State: connected
[LOG] Time: 25s | RTT: 134.00 ms | State: connected
[LOG] Time: 26s | RTT: 134.00 ms | State: connected
[LOG] Time: 27s | RTT: 113.00 ms | State: connected
[LOG] Time: 28s | RTT: 113.00 ms | State: connected
[LOG] Time: 29s | RTT: 113.00 ms | State: connected
[LOG] Time: 30s | RTT: 105.00 ms | State: connected
[LOG] Time: 31s | RTT: 105.00 ms | State: connected
[LOG] Time: 32s | RTT: 105.00 ms | State: connected
[LOG] Time: 34s | RTT: 105.00 ms | State: connected
[LOG] Time: 35s | RTT: 140.00 ms | State: connected
[LOG] Time: 36s | RTT: 140.00 ms | State: connected
[LOG] Time: 37s | RTT: 140.00 ms | State: connected
[LOG] Time: 38s | RTT: 117.00 ms | State: connected
[LOG] Time: 39s | RTT: 117.00 ms | State: connected
[LOG] Time: 40s | RTT: 143.00 ms | State: connected
[LOG] Time: 41s | RTT: 143.00 ms | State: connected
[LOG] Time: 42s | RTT: 143.00 ms | State: connected
[LOG] Time: 43s | RTT: 126.00 ms | State: connected
[LOG] Time: 44s | RTT: 126.00 ms | State: connected
[LOG] Time: 46s | RTT: 122.00 ms | State: connected
[LOG] Time: 47s | RTT: 122.00 ms | State: connected
[LOG] Time: 48s | RTT: 118.00 ms | State: connected
[LOG] Time: 49s | RTT: 118.00 ms | State: connected
[LOG] Time: 50s | RTT: 118.00 ms | State: connected
[LOG] Time: 51s | RTT: 101.00 ms | State: connected
[LOG] Time: 52s | RTT: 101.00 ms | State: connected
[LOG] Time: 53s | RTT: 111.00 ms | State: connected
[LOG] Time: 54s | RTT: 111.00 ms | State: connected
[LOG] Time: 55s | RTT: 111.00 ms | State: connected
[LOG] Time: 56s | RTT: 114.00 ms | State: connected
[LOG] Time: 58s | RTT: 114.00 ms | State: connected
[LOG] Time: 59s | RTT: 100.00 ms | State: connected
[LOG] Time: 60s | RTT: 100.00 ms | State: connected
[LOG] Time: 61s | RTT: 100.00 ms | State: connected
[LOG] Time: 62s | RTT: 134.00 ms | State: connected
