Start: 2026-02-14T14:13:38+0000
HOST: 7f89c09a72cb                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.2   0.2   0.1   0.3   0.0
  2. AS???    10.1.0.1             0.0%    50   61.7  37.4   1.7 399.8  72.7
  3. AS???    100.64.0.1           0.0%    50   88.9  53.6  19.1 366.8  60.8
  4. AS???    172.16.250.40        0.0%    50   36.8  53.5  19.1 307.7  55.3
  5. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
  6. AS14593  206.224.72.100       0.0%    50  199.7  49.3  20.1 223.1  47.9
        206.224.72.102                   
     AS14593  206.224.72.102
        206.224.72.98                    
     AS14593  206.224.72.98
        206.224.72.96                    
     AS14593  206.224.72.96
  7. AS6461   207.245.205.202      0.0%    50  143.6  49.4  19.8 174.5  41.2
  8. AS6461   64.125.31.255        0.0%    50  109.7  67.6  31.2 351.1  56.2
  9. AS6461   64.125.31.246       40.0%    50  7277. 2060.  55.5 7277. 2334.4
 10. AS6461   64.125.23.166       88.0%    50   62.5 1301.  59.7 4148. 1922.9
 11. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 12. AS6461   64.124.196.98        0.0%    50  177.1 112.5  52.6 521.5  96.4
 13. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 14. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 15. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 16. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 17. AS30103  144.195.71.36        0.0%    50  192.5  82.0  53.8 245.3  41.8
Start: 2026-02-14T14:14:37+0000
HOST: 7f89c09a72cb                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.1   0.1   0.1   0.2   0.0
  2. AS???    10.1.0.1             0.0%    50    5.0  53.2   1.6 406.9  84.2
  3. AS???    100.64.0.1           0.0%    50   54.4  80.9  21.3 393.0  76.9
  4. AS???    172.16.250.40        0.0%    50   24.9  75.2  19.7 368.6  78.4
  5. AS14593  206.224.72.124       2.0%    50   20.3  75.4  20.3 323.6  70.0
        206.224.72.116                   
     AS14593  206.224.72.116
        206.224.72.120                   
     AS14593  206.224.72.120
        206.224.72.112                   
     AS14593  206.224.72.112
  6. AS14593  206.224.72.102       0.0%    50   29.0  73.3  19.3 282.7  63.4
        206.224.72.100                   
     AS14593  206.224.72.100
        206.224.72.98                    
     AS14593  206.224.72.98
        206.224.72.96                    
     AS14593  206.224.72.96
  7. AS6461   207.245.205.202      0.0%    50   21.0  71.2  20.1 362.9  67.5
  8. AS6461   64.125.31.255        0.0%    50   45.6  83.7  30.8 330.8  68.3
  9. AS6461   64.125.31.246       70.0%    50   56.0 115.4  56.0 309.5  68.7
 10. AS6461   64.125.23.166       94.0%    50   64.2 129.4  64.2 255.6 109.4
 11. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 12. AS6461   64.124.196.98       54.0%    50  115.5 120.1  56.9 310.9  65.8
 13. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
[*] Config Loaded: Name='flight-edm-vic-Zoom', Duration=200s
[*] Launching Chrome for Zoom...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Name entered: flight-edm-vic-Zoom
[*] Inside meeting. Starting monitoring...
[LOG] Time: 0s | RTT: 52.00 ms
[LOG] Time: 1s | RTT: 52.00 ms
[LOG] Time: 2s | RTT: 53.00 ms
[LOG] Time: 3s | RTT: 53.00 ms
[LOG] Time: 4s | RTT: 52.00 ms
[LOG] Time: 5s | RTT: 52.00 ms
[LOG] Time: 6s | RTT: 52.00 ms
[LOG] Time: 7s | RTT: 62.00 ms
[LOG] Time: 8s | RTT: 62.00 ms
[LOG] Time: 9s | RTT: 55.00 ms
[LOG] Time: 10s | RTT: 55.00 ms
[LOG] Time: 11s | RTT: 55.00 ms
[LOG] Time: 12s | RTT: 63.00 ms
[LOG] Time: 13s | RTT: 63.00 ms
[LOG] Time: 14s | RTT: 63.00 ms
[LOG] Time: 15s | RTT: 53.00 ms
[LOG] Time: 16s | RTT: 53.00 ms
[LOG] Time: 17s | RTT: 55.00 ms
[LOG] Time: 18s | RTT: 55.00 ms
[LOG] Time: 19s | RTT: 55.00 ms
[LOG] Time: 20s | RTT: 56.00 ms
[LOG] Time: 21s | RTT: 56.00 ms
[LOG] Time: 22s | RTT: 56.00 ms
[LOG] Time: 23s | RTT: 52.00 ms
[LOG] Time: 24s | RTT: 52.00 ms
[LOG] Time: 25s | RTT: 54.00 ms
[LOG] Time: 26s | RTT: 54.00 ms
[LOG] Time: 27s | RTT: 54.00 ms
[LOG] Time: 28s | RTT: 53.00 ms
[LOG] Time: 29s | RTT: 53.00 ms
[LOG] Time: 30s | RTT: 53.00 ms
[LOG] Time: 31s | RTT: 53.00 ms
[LOG] Time: 32s | RTT: 53.00 ms
[LOG] Time: 33s | RTT: 57.00 ms
[LOG] Time: 34s | RTT: 57.00 ms
[LOG] Time: 35s | RTT: 57.00 ms
[LOG] Time: 36s | RTT: 61.00 ms
[LOG] Time: 37s | RTT: 61.00 ms
[LOG] Time: 38s | RTT: 52.00 ms
[LOG] Time: 39s | RTT: 52.00 ms
[LOG] Time: 40s | RTT: 52.00 ms
[LOG] Time: 41s | RTT: 57.00 ms
[LOG] Time: 42s | RTT: 57.00 ms
[LOG] Time: 43s | RTT: 57.00 ms
[LOG] Time: 44s | RTT: 60.00 ms
[LOG] Time: 45s | RTT: 60.00 ms
[LOG] Time: 46s | RTT: 58.00 ms
[LOG] Time: 47s | RTT: 58.00 ms
[LOG] Time: 48s | RTT: 58.00 ms
[LOG] Time: 49s | RTT: 223.00 ms
[LOG] Time: 50s | RTT: 223.00 ms
[LOG] Time: 51s | RTT: 56.00 ms
[LOG] Time: 52s | RTT: 56.00 ms
[LOG] Time: 53s | RTT: 56.00 ms
[LOG] Time: 54s | RTT: 62.00 ms
[LOG] Time: 55s | RTT: 62.00 ms
[LOG] Time: 56s | RTT: 62.00 ms
[LOG] Time: 57s | RTT: 68.00 ms
[LOG] Time: 58s | RTT: 68.00 ms
[LOG] Time: 59s | RTT: 62.00 ms
[LOG] Time: 60s | RTT: 62.00 ms
[LOG] Time: 61s | RTT: 62.00 ms
[LOG] Time: 62s | RTT: 60.00 ms
[LOG] Time: 64s | RTT: 60.00 ms
[LOG] Time: 65s | RTT: 70.00 ms
[LOG] Time: 66s | RTT: 70.00 ms
[LOG] Time: 67s | RTT: 70.00 ms
[LOG] Time: 68s | RTT: 74.00 ms
[LOG] Time: 69s | RTT: 74.00 ms
[LOG] Time: 70s | RTT: 74.00 ms
[LOG] Time: 71s | RTT: 199.00 ms
[LOG] Time: 72s | RTT: 199.00 ms
