Start: 2026-02-14T14:56:18+0000
HOST: 1f30e387a02a                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.2   0.3   0.2   1.8   0.2
  2. AS???    10.1.0.1             0.0%    50   58.4  25.1   1.8 265.3  55.7
  3. AS???    100.64.0.1           0.0%    50   24.6  52.0  17.8 243.3  49.6
  4. AS???    172.16.250.86        0.0%    50   19.8  45.1  19.1 249.3  47.0
  5. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
  6. AS14593  206.224.72.102       0.0%    50   21.5  37.2  17.4 139.7  25.7
        206.224.72.100                   
     AS14593  206.224.72.100
        206.224.72.98                    
     AS14593  206.224.72.98
        206.224.72.96                    
     AS14593  206.224.72.96
  7. AS6461   207.245.205.202      0.0%    50   31.9  41.2  17.6 151.1  31.9
  8. AS6461   64.125.31.255        0.0%    50   44.9  74.8  29.1 1060. 149.0
  9. AS6461   64.125.31.246       30.0%    50  4164. 2008.  55.2 7266. 2280.0
 10. AS6461   64.125.23.166        8.0%    50  7292. 1829.  51.6 7292. 2252.6
 11. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 12. AS6461   208.185.0.254        0.0%    50   60.2  89.3  51.0 1066. 145.2
 13. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 14. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 15. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 16. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 17. AS30103  144.195.74.75        0.0%    50   70.7  90.1  51.1 1074. 144.8
Start: 2026-02-14T14:57:16+0000
HOST: 1f30e387a02a                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.2   0.1   0.1   0.5   0.1
  2. AS???    10.1.0.1             0.0%    50    2.3  43.2   1.5 283.1  73.9
  3. AS???    100.64.0.1           0.0%    50   23.6  66.1  19.0 305.5  69.5
  4. AS???    172.16.250.86        0.0%    50   25.7  69.2  18.9 370.7  80.6
  5. AS14593  206.224.72.116       0.0%    50   22.6  70.1  17.9 489.2  86.7
        206.224.72.124                   
     AS14593  206.224.72.124
        206.224.72.112                   
     AS14593  206.224.72.112
        206.224.72.120                   
     AS14593  206.224.72.120
  6. AS14593  206.224.72.100       0.0%    50   21.8  74.7  18.1 444.6  89.2
        206.224.72.102                   
     AS14593  206.224.72.102
        206.224.72.96                    
     AS14593  206.224.72.96
        206.224.72.98                    
     AS14593  206.224.72.98
  7. AS6461   207.245.205.202      2.0%    50   22.3  70.2  19.1 411.2  78.6
  8. AS6461   64.125.31.255        0.0%    50   42.0  89.3  26.6 708.2 111.1
  9. AS6461   64.125.31.246       68.0%    50   51.0  90.5  51.0 201.5  51.7
 10. AS6461   64.125.23.166       62.0%    50   57.8  97.5  57.8 278.2  54.7
 11. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 12. AS6461   208.185.0.254       54.0%    50   55.1 100.5  53.3 299.8  59.4
 13. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
[*] Config Loaded: Name='flight-edm-vic-Zoom', Duration=200s
[*] Launching Chrome for Zoom...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Name entered: flight-edm-vic-Zoom
[*] Inside meeting. Starting monitoring...
[LOG] Time: 0s | RTT: 54.00 ms
[LOG] Time: 1s | RTT: 54.00 ms
[LOG] Time: 2s | RTT: 62.00 ms
[LOG] Time: 3s | RTT: 62.00 ms
[LOG] Time: 4s | RTT: 57.00 ms
[LOG] Time: 5s | RTT: 57.00 ms
[LOG] Time: 6s | RTT: 57.00 ms
[LOG] Time: 7s | RTT: 61.00 ms
[LOG] Time: 8s | RTT: 61.00 ms
[LOG] Time: 9s | RTT: 61.00 ms
[LOG] Time: 10s | RTT: 53.00 ms
[LOG] Time: 11s | RTT: 53.00 ms
[LOG] Time: 12s | RTT: 59.00 ms
[LOG] Time: 13s | RTT: 59.00 ms
[LOG] Time: 14s | RTT: 59.00 ms
[LOG] Time: 15s | RTT: 60.00 ms
[LOG] Time: 16s | RTT: 60.00 ms
[LOG] Time: 17s | RTT: 59.00 ms
[LOG] Time: 18s | RTT: 59.00 ms
[LOG] Time: 19s | RTT: 59.00 ms
[LOG] Time: 20s | RTT: 74.00 ms
[LOG] Time: 21s | RTT: 74.00 ms
[LOG] Time: 22s | RTT: 74.00 ms
[LOG] Time: 23s | RTT: 57.00 ms
[LOG] Time: 24s | RTT: 57.00 ms
[LOG] Time: 25s | RTT: 58.00 ms
[LOG] Time: 26s | RTT: 58.00 ms
[LOG] Time: 27s | RTT: 58.00 ms
[LOG] Time: 28s | RTT: 64.00 ms
[LOG] Time: 29s | RTT: 64.00 ms
[LOG] Time: 30s | RTT: 61.00 ms
[LOG] Time: 31s | RTT: 61.00 ms
[LOG] Time: 32s | RTT: 61.00 ms
[LOG] Time: 33s | RTT: 54.00 ms
[LOG] Time: 34s | RTT: 54.00 ms
[LOG] Time: 35s | RTT: 54.00 ms
[LOG] Time: 36s | RTT: 61.00 ms
[LOG] Time: 37s | RTT: 61.00 ms
[LOG] Time: 38s | RTT: 52.00 ms
[LOG] Time: 39s | RTT: 52.00 ms
[LOG] Time: 40s | RTT: 52.00 ms
[LOG] Time: 41s | RTT: 52.00 ms
[LOG] Time: 42s | RTT: 52.00 ms
[LOG] Time: 43s | RTT: 54.00 ms
[LOG] Time: 44s | RTT: 54.00 ms
[LOG] Time: 45s | RTT: 54.00 ms
[LOG] Time: 46s | RTT: 63.00 ms
[LOG] Time: 47s | RTT: 63.00 ms
[LOG] Time: 48s | RTT: 63.00 ms
[LOG] Time: 49s | RTT: 59.00 ms
[LOG] Time: 50s | RTT: 59.00 ms
[LOG] Time: 51s | RTT: 57.00 ms
[LOG] Time: 52s | RTT: 57.00 ms
[LOG] Time: 53s | RTT: 57.00 ms
[LOG] Time: 54s | RTT: 55.00 ms
[LOG] Time: 55s | RTT: 55.00 ms
[LOG] Time: 56s | RTT: 55.00 ms
[LOG] Time: 57s | RTT: 52.00 ms
[LOG] Time: 58s | RTT: 52.00 ms
[LOG] Time: 60s | RTT: 53.00 ms
[LOG] Time: 61s | RTT: 53.00 ms
[LOG] Time: 62s | RTT: 53.00 ms
[LOG] Time: 63s | RTT: 89.00 ms
[LOG] Time: 64s | RTT: 89.00 ms
[LOG] Time: 65s | RTT: 51.00 ms
[LOG] Time: 66s | RTT: 51.00 ms
[LOG] Time: 67s | RTT: 51.00 ms
[LOG] Time: 68s | RTT: 50.00 ms
[LOG] Time: 69s | RTT: 50.00 ms
[LOG] Time: 70s | RTT: 50.00 ms
[LOG] Time: 71s | RTT: 62.00 ms
[LOG] Time: 72s | RTT: 62.00 ms
