[*] Config Loaded: Name='flight-van-howaei-Teams', Duration=300s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 300 seconds...
[LOG] Time: 0s | RTT: 168.00 ms | State: connected
[LOG] Time: 1s | RTT: 168.00 ms | State: connected
[LOG] Time: 2s | RTT: 204.00 ms | State: connected
[LOG] Time: 3s | RTT: 204.00 ms | State: connected
[LOG] Time: 4s | RTT: 186.00 ms | State: connected
[LOG] Time: 5s | RTT: 186.00 ms | State: connected
[LOG] Time: 6s | RTT: 183.00 ms | State: connected
[LOG] Time: 7s | RTT: 183.00 ms | State: connected
[LOG] Time: 8s | RTT: 183.00 ms | State: connected
[LOG] Time: 10s | RTT: 179.00 ms | State: connected
[LOG] Time: 11s | RTT: 179.00 ms | State: connected
[LOG] Time: 12s | RTT: 211.00 ms | State: connected
[LOG] Time: 13s | RTT: 211.00 ms | State: connected
[LOG] Time: 14s | RTT: 211.00 ms | State: connected
[LOG] Time: 15s | RTT: 197.00 ms | State: connected
[LOG] Time: 16s | RTT: 197.00 ms | State: connected
[LOG] Time: 17s | RTT: 227.00 ms | State: connected
[LOG] Time: 18s | RTT: 227.00 ms | State: connected
[LOG] Time: 19s | RTT: 227.00 ms | State: connected
[LOG] Time: 20s | RTT: 278.00 ms | State: connected
[LOG] Time: 22s | RTT: 278.00 ms | State: connected
[LOG] Time: 23s | RTT: 203.00 ms | State: connected
[LOG] Time: 24s | RTT: 203.00 ms | State: connected
[LOG] Time: 25s | RTT: 185.00 ms | State: connected
[LOG] Time: 26s | RTT: 185.00 ms | State: connected
[LOG] Time: 27s | RTT: 185.00 ms | State: connected
[LOG] Time: 28s | RTT: 222.00 ms | State: connected
[LOG] Time: 29s | RTT: 222.00 ms | State: connected
[LOG] Time: 30s | RTT: 203.00 ms | State: connected
[LOG] Time: 31s | RTT: 203.00 ms | State: connected
[LOG] Time: 33s | RTT: 203.00 ms | State: connected
[LOG] Time: 34s | RTT: 197.00 ms | State: connected
[LOG] Time: 35s | RTT: 197.00 ms | State: connected
[LOG] Time: 36s | RTT: 177.00 ms | State: connected
