[*] Config Loaded: Name='flight-tor-edm-Teams', Duration=200s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 200 seconds...
[LOG] Time: 0s | RTT: 116.00 ms | State: connected
[LOG] Time: 1s | RTT: 49.00 ms | State: connected
[LOG] Time: 2s | RTT: 49.00 ms | State: connected
[LOG] Time: 3s | RTT: 58.00 ms | State: connected
[LOG] Time: 4s | RTT: 58.00 ms | State: connected
[LOG] Time: 5s | RTT: 67.00 ms | State: connected
[LOG] Time: 6s | RTT: 67.00 ms | State: connected
[LOG] Time: 7s | RTT: 67.00 ms | State: connected
[LOG] Time: 8s | RTT: 80.00 ms | State: connected
[LOG] Time: 9s | RTT: 80.00 ms | State: connected
[LOG] Time: 11s | RTT: 80.00 ms | State: connected
[LOG] Time: 12s | RTT: 80.00 ms | State: connected
[LOG] Time: 13s | RTT: 80.00 ms | State: connected
[LOG] Time: 14s | RTT: 106.00 ms | State: connected
[LOG] Time: 15s | RTT: 106.00 ms | State: connected
[LOG] Time: 16s | RTT: 90.00 ms | State: connected
[LOG] Time: 17s | RTT: 90.00 ms | State: connected
[LOG] Time: 18s | RTT: 90.00 ms | State: connected
[LOG] Time: 19s | RTT: 219.00 ms | State: connected
[LOG] Time: 20s | RTT: 219.00 ms | State: connected
[LOG] Time: 21s | RTT: 252.00 ms | State: connected
[LOG] Time: 23s | RTT: 252.00 ms | State: connected
[LOG] Time: 24s | RTT: 86.00 ms | State: connected
[LOG] Time: 25s | RTT: 86.00 ms | State: connected
[LOG] Time: 26s | RTT: 86.00 ms | State: connected
[LOG] Time: 27s | RTT: 173.00 ms | State: connected
[LOG] Time: 28s | RTT: 173.00 ms | State: connected
[LOG] Time: 29s | RTT: 57.00 ms | State: connected
[LOG] Time: 30s | RTT: 57.00 ms | State: connected
[LOG] Time: 31s | RTT: 57.00 ms | State: connected
[LOG] Time: 32s | RTT: 47.00 ms | State: connected
[LOG] Time: 33s | RTT: 47.00 ms | State: connected
[LOG] Time: 34s | RTT: 84.00 ms | State: connected
[LOG] Time: 36s | RTT: 84.00 ms | State: connected
[LOG] Time: 37s | RTT: 84.00 ms | State: connected
[LOG] Time: 38s | RTT: 57.00 ms | State: connected
[LOG] Time: 39s | RTT: 57.00 ms | State: connected
[LOG] Time: 40s | RTT: 47.00 ms | State: connected
[LOG] Time: 41s | RTT: 47.00 ms | State: connected
[LOG] Time: 42s | RTT: 47.00 ms | State: connected
[LOG] Time: 43s | RTT: 54.00 ms | State: connected
[LOG] Time: 44s | RTT: 54.00 ms | State: connected
[LOG] Time: 45s | RTT: 50.00 ms | State: connected
[LOG] Time: 46s | RTT: 50.00 ms | State: connected
[LOG] Time: 47s | RTT: 78.00 ms | State: connected
[LOG] Time: 49s | RTT: 78.00 ms | State: connected
[LOG] Time: 50s | RTT: 78.00 ms | State: connected
[LOG] Time: 51s | RTT: 140.00 ms | State: connected
[LOG] Time: 52s | RTT: 140.00 ms | State: connected
[LOG] Time: 53s | RTT: 97.00 ms | State: connected
[LOG] Time: 54s | RTT: 97.00 ms | State: connected
[LOG] Time: 55s | RTT: 97.00 ms | State: connected
[LOG] Time: 56s | RTT: 51.00 ms | State: connected
[LOG] Time: 57s | RTT: 51.00 ms | State: connected
[LOG] Time: 58s | RTT: 99.00 ms | State: connected
[LOG] Time: 59s | RTT: 99.00 ms | State: connected
[LOG] Time: 60s | RTT: 99.00 ms | State: connected
[LOG] Time: 62s | RTT: 55.00 ms | State: connected
[LOG] Time: 63s | RTT: 55.00 ms | State: connected
[LOG] Time: 64s | RTT: 68.00 ms | State: connected
[LOG] Time: 65s | RTT: 68.00 ms | State: connected
[LOG] Time: 66s | RTT: 68.00 ms | State: connected
[LOG] Time: 67s | RTT: 120.00 ms | State: connected
[LOG] Time: 68s | RTT: 120.00 ms | State: connected
[LOG] Time: 69s | RTT: 63.00 ms | State: connected
[LOG] Time: 70s | RTT: 63.00 ms | State: connected
[LOG] Time: 72s | RTT: 56.00 ms | State: connected
[LOG] Time: 73s | RTT: 56.00 ms | State: connected
[LOG] Time: 74s | RTT: 56.00 ms | State: connected
[LOG] Time: 75s | RTT: 90.00 ms | State: connected
[LOG] Time: 76s | RTT: 90.00 ms | State: connected
[LOG] Time: 77s | RTT: 93.00 ms | State: connected
[LOG] Time: 78s | RTT: 93.00 ms | State: connected
[LOG] Time: 79s | RTT: 93.00 ms | State: connected
[LOG] Time: 80s | RTT: 92.00 ms | State: connected
[LOG] Time: 81s | RTT: 92.00 ms | State: connected
[LOG] Time: 82s | RTT: 76.00 ms | State: connected
[LOG] Time: 83s | RTT: 76.00 ms | State: connected
[LOG] Time: 85s | RTT: 76.00 ms | State: connected
[LOG] Time: 86s | RTT: 76.00 ms | State: connected
[LOG] Time: 87s | RTT: 76.00 ms | State: connected
[LOG] Time: 88s | RTT: 62.00 ms | State: connected
[LOG] Time: 89s | RTT: 62.00 ms | State: connected
[LOG] Time: 90s | RTT: 53.00 ms | State: connected
[LOG] Time: 91s | RTT: 53.00 ms | State: connected
[LOG] Time: 92s | RTT: 53.00 ms | State: connected
[LOG] Time: 93s | RTT: 91.00 ms | State: connected
[LOG] Time: 94s | RTT: 91.00 ms | State: connected
[LOG] Time: 96s | RTT: 140.00 ms | State: connected
[LOG] Time: 97s | RTT: 140.00 ms | State: connected
[LOG] Time: 98s | RTT: 140.00 ms | State: connected
[LOG] Time: 99s | RTT: 52.00 ms | State: connected
[LOG] Time: 100s | RTT: 52.00 ms | State: connected
[LOG] Time: 101s | RTT: 72.00 ms | State: connected
[LOG] Time: 102s | RTT: 72.00 ms | State: connected
[LOG] Time: 103s | RTT: 72.00 ms | State: connected
[LOG] Time: 104s | RTT: 71.00 ms | State: connected
[LOG] Time: 105s | RTT: 71.00 ms | State: connected
[LOG] Time: 106s | RTT: 75.00 ms | State: connected
[LOG] Time: 108s | RTT: 75.00 ms | State: connected
[LOG] Time: 109s | RTT: 50.00 ms | State: connected
[LOG] Time: 110s | RTT: 50.00 ms | State: connected
[LOG] Time: 111s | RTT: 50.00 ms | State: connected
[LOG] Time: 112s | RTT: 86.00 ms | State: connected
[LOG] Time: 113s | RTT: 86.00 ms | State: connected
[LOG] Time: 114s | RTT: 119.00 ms | State: connected
[LOG] Time: 115s | RTT: 119.00 ms | State: connected
[LOG] Time: 116s | RTT: 119.00 ms | State: connected
[LOG] Time: 117s | RTT: 51.00 ms | State: connected
[LOG] Time: 118s | RTT: 51.00 ms | State: connected
[LOG] Time: 119s | RTT: 60.00 ms | State: connected
[LOG] Time: 121s | RTT: 60.00 ms | State: connected
[LOG] Time: 122s | RTT: 60.00 ms | State: connected
[LOG] Time: 123s | RTT: 86.00 ms | State: connected
[LOG] Time: 124s | RTT: 86.00 ms | State: connected
[LOG] Time: 125s | RTT: 74.00 ms | State: connected
[LOG] Time: 126s | RTT: 74.00 ms | State: connected
[LOG] Time: 127s | RTT: 74.00 ms | State: connected
[LOG] Time: 128s | RTT: 123.00 ms | State: connected
[LOG] Time: 129s | RTT: 123.00 ms | State: connected
[LOG] Time: 130s | RTT: 99.00 ms | State: connected
[LOG] Time: 132s | RTT: 99.00 ms | State: connected
[LOG] Time: 133s | RTT: 77.00 ms | State: connected
[LOG] Time: 134s | RTT: 77.00 ms | State: connected
[LOG] Time: 135s | RTT: 77.00 ms | State: connected
[LOG] Time: 136s | RTT: 74.00 ms | State: connected
[LOG] Time: 137s | RTT: 74.00 ms | State: connected
[LOG] Time: 138s | RTT: 72.00 ms | State: connected
[LOG] Time: 139s | RTT: 72.00 ms | State: connected
[LOG] Time: 140s | RTT: 72.00 ms | State: connected
[LOG] Time: 141s | RTT: 61.00 ms | State: connected
[LOG] Time: 142s | RTT: 61.00 ms | State: connected
[LOG] Time: 143s | RTT: 86.00 ms | State: connected
[LOG] Time: 145s | RTT: 86.00 ms | State: connected
[LOG] Time: 146s | RTT: 86.00 ms | State: connected
