Start: 2026-02-14T04:18:05+0000
HOST: a4debd0eb2a7                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.2   0.2   0.2   0.5   0.1
  2. AS???    10.1.0.1            34.0%    50    2.2 1135.   2.2 7295. 2391.8
  3. AS???    100.64.0.1           0.0%    50   20.2  49.7  20.2 207.3  38.8
  4. AS???    172.16.252.142       0.0%    50   30.7  49.7  20.7 179.5  40.7
  5. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
  6. AS14593  206.224.68.6         0.0%    50   28.5  47.0  19.8 210.1  37.9
        206.224.68.8                     
     AS14593  206.224.68.8
        206.224.68.4                     
     AS14593  206.224.68.4
        206.224.68.2                     
     AS14593  206.224.68.2
  7. AS???    206.126.239.81       0.0%    50   32.4  54.6  22.8 302.3  56.6
        206.126.239.82                   
     AS???    206.126.239.82
  8. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
  9. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 10. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 11. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 12. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
 13. AS30103  206.247.99.124       0.0%    50   25.2  43.1  20.2 146.7  25.8
Start: 2026-02-14T04:19:02+0000
HOST: a4debd0eb2a7                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    50    0.2   0.1   0.1   0.3   0.0
  2. AS???    10.1.0.1             0.0%    50   17.0  41.2   2.0 338.9  69.8
  3. AS???    100.64.0.1           0.0%    50   71.6  64.5  20.2 318.2  59.0
  4. AS???    172.16.252.142       0.0%    50   27.6  48.7  20.6 266.3  49.7
  5. AS14593  206.224.74.164       0.0%    50   32.0 102.0  22.6 351.5  86.1
        206.224.74.172                   
     AS14593  206.224.74.172
        206.224.74.168                   
     AS14593  206.224.74.168
        206.224.74.160                   
     AS14593  206.224.74.160
  6. AS14593  206.224.68.6         0.0%    50  102.0  52.5  21.1 265.6  43.4
        206.224.68.2                     
     AS14593  206.224.68.2
        206.224.68.4                     
     AS14593  206.224.68.4
        206.224.68.8                     
     AS14593  206.224.68.8
  7. AS???    206.126.239.82      74.0%    50   39.5  39.9  26.4  64.0  11.1
  8. AS???    ???                 100.0    50    0.0   0.0   0.0   0.0   0.0
[*] Config Loaded: Name='flight-edm-tor-Zoom', Duration=200s
[*] Launching Chrome for Zoom...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Name entered: flight-edm-tor-Zoom
[*] Inside meeting. Starting monitoring...
[LOG] Time: 0s | RTT: 64.00 ms
[LOG] Time: 1s | RTT: 280.00 ms
[LOG] Time: 2s | RTT: 280.00 ms
[LOG] Time: 3s | RTT: 280.00 ms
[LOG] Time: 4s | RTT: 133.00 ms
[LOG] Time: 5s | RTT: 133.00 ms
[LOG] Time: 6s | RTT: 154.00 ms
[LOG] Time: 7s | RTT: 154.00 ms
[LOG] Time: 8s | RTT: 154.00 ms
[LOG] Time: 9s | RTT: 33.00 ms
[LOG] Time: 10s | RTT: 33.00 ms
[LOG] Time: 11s | RTT: 39.00 ms
[LOG] Time: 12s | RTT: 39.00 ms
[LOG] Time: 13s | RTT: 39.00 ms
[LOG] Time: 14s | RTT: 23.00 ms
[LOG] Time: 15s | RTT: 23.00 ms
[LOG] Time: 16s | RTT: 23.00 ms
[LOG] Time: 17s | RTT: 19.00 ms
[LOG] Time: 18s | RTT: 19.00 ms
[LOG] Time: 19s | RTT: 22.00 ms
[LOG] Time: 20s | RTT: 22.00 ms
[LOG] Time: 21s | RTT: 22.00 ms
[LOG] Time: 22s | RTT: 61.00 ms
[LOG] Time: 23s | RTT: 61.00 ms
[LOG] Time: 24s | RTT: 35.00 ms
[LOG] Time: 25s | RTT: 35.00 ms
[LOG] Time: 26s | RTT: 35.00 ms
[LOG] Time: 27s | RTT: 26.00 ms
[LOG] Time: 28s | RTT: 26.00 ms
[LOG] Time: 29s | RTT: 26.00 ms
[LOG] Time: 30s | RTT: 42.00 ms
[LOG] Time: 31s | RTT: 42.00 ms
[LOG] Time: 32s | RTT: 35.00 ms
[LOG] Time: 33s | RTT: 35.00 ms
[LOG] Time: 34s | RTT: 35.00 ms
[LOG] Time: 35s | RTT: 57.00 ms
[LOG] Time: 36s | RTT: 57.00 ms
[LOG] Time: 37s | RTT: 57.00 ms
[LOG] Time: 38s | RTT: 46.00 ms
[LOG] Time: 39s | RTT: 46.00 ms
[LOG] Time: 40s | RTT: 32.00 ms
[LOG] Time: 41s | RTT: 32.00 ms
[LOG] Time: 42s | RTT: 32.00 ms
[LOG] Time: 43s | RTT: 27.00 ms
[LOG] Time: 44s | RTT: 27.00 ms
[LOG] Time: 45s | RTT: 23.00 ms
[LOG] Time: 46s | RTT: 23.00 ms
[LOG] Time: 47s | RTT: 23.00 ms
[LOG] Time: 48s | RTT: 23.00 ms
[LOG] Time: 49s | RTT: 23.00 ms
[LOG] Time: 50s | RTT: 23.00 ms
[LOG] Time: 51s | RTT: 19.00 ms
[LOG] Time: 52s | RTT: 19.00 ms
[LOG] Time: 53s | RTT: 38.00 ms
[LOG] Time: 54s | RTT: 38.00 ms
[LOG] Time: 55s | RTT: 38.00 ms
[LOG] Time: 56s | RTT: 23.00 ms
[LOG] Time: 57s | RTT: 23.00 ms
[LOG] Time: 58s | RTT: 25.00 ms
[LOG] Time: 59s | RTT: 25.00 ms
[LOG] Time: 60s | RTT: 25.00 ms
[LOG] Time: 61s | RTT: 28.00 ms
[LOG] Time: 62s | RTT: 28.00 ms
[LOG] Time: 63s | RTT: 28.00 ms
[LOG] Time: 64s | RTT: 38.00 ms
[LOG] Time: 66s | RTT: 38.00 ms
[LOG] Time: 67s | RTT: 28.00 ms
[LOG] Time: 68s | RTT: 28.00 ms
[LOG] Time: 69s | RTT: 28.00 ms
[LOG] Time: 70s | RTT: 32.00 ms
[LOG] Time: 71s | RTT: 32.00 ms
[LOG] Time: 72s | RTT: 32.00 ms
[LOG] Time: 73s | RTT: 35.00 ms
[LOG] Time: 74s | RTT: 35.00 ms
[LOG] Time: 75s | RTT: 23.00 ms
[LOG] Time: 76s | RTT: 23.00 ms
[LOG] Time: 77s | RTT: 23.00 ms
[LOG] Time: 78s | RTT: 65.00 ms
[LOG] Time: 79s | RTT: 65.00 ms
[LOG] Time: 80s | RTT: 23.00 ms
[LOG] Time: 81s | RTT: 23.00 ms
[LOG] Time: 82s | RTT: 23.00 ms
[LOG] Time: 83s | RTT: 35.00 ms
[LOG] Time: 84s | RTT: 35.00 ms
[LOG] Time: 85s | RTT: 35.00 ms
[LOG] Time: 86s | RTT: 23.00 ms
[LOG] Time: 87s | RTT: 23.00 ms
[LOG] Time: 88s | RTT: 37.00 ms
[LOG] Time: 89s | RTT: 37.00 ms
[LOG] Time: 90s | RTT: 37.00 ms
[LOG] Time: 91s | RTT: 19.00 ms
[LOG] Time: 92s | RTT: 19.00 ms
[LOG] Time: 93s | RTT: 34.00 ms
[LOG] Time: 94s | RTT: 34.00 ms
[LOG] Time: 95s | RTT: 34.00 ms
[LOG] Time: 96s | RTT: 34.00 ms
[LOG] Time: 97s | RTT: 34.00 ms
[LOG] Time: 98s | RTT: 34.00 ms
[LOG] Time: 99s | RTT: 31.00 ms
[LOG] Time: 100s | RTT: 31.00 ms
[LOG] Time: 101s | RTT: 34.00 ms
[LOG] Time: 102s | RTT: 34.00 ms
[LOG] Time: 103s | RTT: 34.00 ms
[LOG] Time: 104s | RTT: 25.00 ms
[LOG] Time: 105s | RTT: 25.00 ms
[LOG] Time: 106s | RTT: 25.00 ms
[LOG] Time: 107s | RTT: 25.00 ms
[LOG] Time: 108s | RTT: 25.00 ms
[LOG] Time: 109s | RTT: 28.00 ms
[LOG] Time: 110s | RTT: 28.00 ms
[LOG] Time: 111s | RTT: 28.00 ms
[LOG] Time: 112s | RTT: 24.00 ms
[LOG] Time: 113s | RTT: 24.00 ms
[LOG] Time: 114s | RTT: 37.00 ms
[LOG] Time: 115s | RTT: 37.00 ms
[LOG] Time: 116s | RTT: 37.00 ms
[LOG] Time: 117s | RTT: 21.00 ms
[LOG] Time: 118s | RTT: 21.00 ms
[LOG] Time: 119s | RTT: 21.00 ms
[LOG] Time: 120s | RTT: 26.00 ms
[LOG] Time: 121s | RTT: 26.00 ms
[LOG] Time: 122s | RTT: 212.00 ms
[LOG] Time: 123s | RTT: 212.00 ms
[LOG] Time: 124s | RTT: 212.00 ms
[LOG] Time: 125s | RTT: 49.00 ms
[LOG] Time: 126s | RTT: 49.00 ms
